Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]"
Afghanistan,"AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7731938409853","59.8608738790779","58.4580149495439","78.7063875407802","82.0952307131832","101.108304853377","137.594352053111","160.898588872438","129.108323102596","129.329712876621","156.518939442982","159.567578521888","135.31730831433","143.144649500081","173.653764639169","186.510897140201","197.445507551145","224.224797281134","247.354106347038","275.738197619262","272.655285650232","264.111317453061","","","","","","","","","","","","","","","","","","","","","179.426494467624","190.684008786063","211.381969507195","242.031379173351","263.733734678911","359.693480030525","364.660465388571","438.076034406941","543.303041863931","591.16234645088","641.872033785411","637.16504385598","613.856332882312","578.466352941708","547.228110150363","556.302138508508","520.896602719135"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","8996973","9169410","9351441","9543205","9744781","9956320","10174836","10399926","10637063","10893776","11173642","11475445","11791215","12108963","12412950","12689160","12943093","13171306","13341198","13411056","13356511","13171673","12882528","12537730","12204292","11938208","11736179","11604534","11618005","11868877","12412308","13299017","14485546","15816603","17075727","18110657","18853437","19357126","19737765","20170844","20779953","21606988","22600770","23680871","24726684","25654277","26433049","27100536","27722276","28394813","29185507","30117413","31161376","32269589","33370794","34413603","35383128","36296400","37172386"
Afghanistan,"AFG","Population, male","SP.POP.TOTL.MA.IN","4649683","4730450","4816370","4907499","5003882","5105581","5211135","5320340","5435902","5561507","5698918","5847479","6003256","6160416","6311350","6449210","6576810","6692352","6779339","6816671","6791948","6702573","6561653","6392888","6228915","6097324","5995322","5926797","5932699","6064017","6351475","6822964","7455015","8163458","8830362","9372629","9752662","9999893","10179680","10390241","10700333","11134024","11662446","12238246","12790790","13271084","13660795","13982204","14275396","14599080","14994122","15474651","16023103","16610288","17192630","17738644","18239225","18704802","19146953"
Afghanistan,"AFG","Population, female","SP.POP.TOTL.FE.IN","4347290","4438960","4535071","4635706","4740899","4850739","4963701","5079586","5201161","5332269","5474724","5627966","5787959","5948547","6101600","6239950","6366283","6478954","6561859","6594385","6564563","6469100","6320875","6144842","5975377","5840884","5740857","5677737","5685306","5804860","6060833","6476053","7030531","7653145","8245365","8738028","9100775","9357233","9558085","9780603","10079620","10472964","10938324","11442625","11935894","12383193","12772254","13118332","13446880","13795733","14191385","14642762","15138273","15659301","16178164","16674959","17143903","17591598","18025433"
Afghanistan,"AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.292","32.742","33.185","33.624","34.06","34.495","34.928","35.361","35.796","36.234","36.678","37.128","37.587","38.056","38.54","39.039","39.556","40.092","40.65","41.234","41.853","42.513","43.217","43.963","44.747","45.566","46.417","47.288","48.164","49.028","49.856","50.627","51.331","51.968","52.539","53.055","53.533","53.997","54.468","54.959","55.482","56.044","56.637","57.25","57.875","58.5","59.11","59.694","60.243","60.754","61.226","61.666","62.086","62.494","62.895","63.288","63.673","64.047",""
Albania,"ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.48473584821","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97766752106","717.380567391734","813.790263555599","1033.2416930932","1126.68331762741","1281.65939343074","1425.12484888368","1846.11881331912","2373.57984371994","2673.78728253113","2972.74326462176","3595.03716321514","4370.5399247769","4114.13489916342","4094.35881639579","4437.17779448652","4247.61434236292","4413.08288688408","4578.66793446159","3952.83078116586","4124.10854308316","4532.88919785143","5253.63006411357"
Albania,"ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376"
Albania,"ALB","Population, male","SP.POP.TOTL.MA.IN","828205","854495","881002","907383","933879","959968","985646","1011998","1041259","1071887","1099525","1126332","1154556","1181887","1209110","1237093","1264649","1292943","1320071","1346534","1374206","1401535","1430681","1460530","1491093","1522080","1552819","1585881","1617007","1659149","1683244","1661987","1636420","1609515","1585907","1569137","1560944","1559800","1562331","1563784","1560981","1548466","1542010","1531950","1521004","1510064","1499018","1487273","1476369","1467513","1461599","1459381","1459114","1458648","1457453","1454334","1452292","1450509","1445986"
Albania,"ALB","Population, female","SP.POP.TOTL.FE.IN","780595","805305","830317","855238","880256","904823","928927","953600","981013","1009808","1035954","1061521","1088570","1114865","1141014","1167738","1193877","1220603","1246195","1271298","1297791","1324521","1353597","1383430","1413336","1442682","1469816","1497724","1525329","1568794","1603298","1604803","1610619","1617772","1621629","1618647","1607089","1588481","1566199","1544994","1528046","1511707","1509000","1507666","1505935","1501423","1493529","1482744","1470945","1460006","1451422","1445814","1441287","1436444","1431651","1426369","1423809","1422948","1420390"
Albania,"ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.279","63.298","64.187","64.911","65.461","65.848","66.108","66.302","66.485","66.687","66.933","67.235","67.58","67.951","68.341","68.734","69.108","69.447","69.741","69.99","70.207","70.416","70.635","70.876","71.134","71.388","71.605","71.76","71.843","71.86","71.836","71.803","71.802","71.86","71.992","72.205","72.495","72.838","73.208","73.588","73.955","74.286","74.575","74.82","75.028","75.217","75.418","75.656","75.943","76.281","76.652","77.031","77.389","77.702","77.963","78.174","78.345","78.495",""
